latitude,longitude,month,year,predicted_individuals
17.62787,23.737268,4,2011,6474.4536
17.62787,23.737268,5,2011,9686.887
17.62787,23.737268,6,2011,7096.824
17.62787,23.737268,7,2011,6945.889
17.62787,23.737268,8,2011,7940.54
17.62787,23.737268,9,2011,8073.2896
17.62787,23.737268,10,2011,8950.6045
17.62787,23.737268,11,2011,11087.742
17.62787,23.737268,12,2011,15350.8955
17.62787,23.737268,1,2012,8426.018
17.62787,23.737268,2,2012,6279.968
17.62787,23.737268,3,2012,6667.7266
17.62787,23.737268,4,2012,5287.8896
17.62787,23.737268,5,2012,4457.917
17.62787,23.737268,6,2012,4217.7256
17.62787,23.737268,7,2012,3871.0098
17.62787,23.737268,8,2012,3664.4568
17.62787,23.737268,9,2012,3621.1936
17.62787,23.737268,10,2012,3667.8188
17.62787,23.737268,11,2012,3852.125
17.62787,23.737268,12,2012,4219.7275
17.62787,23.737268,1,2013,3622.1497
17.62787,23.737268,2,2013,3289.4282
17.62787,23.737268,3,2013,3065.7073
14.587364,22.66106,7,2014,6380.995
14.587364,22.66106,8,2014,5689.7607
14.587364,22.66106,9,2014,5486.456
14.587364,22.66106,10,2014,5195.0903
14.587364,22.66106,11,2014,4896.3174
14.587364,22.66106,12,2014,4637.0693
14.587364,22.66106,1,2015,9278.861
14.587364,22.66106,2,2015,8436.609
14.587364,22.66106,3,2015,7437.742
14.587364,22.66106,4,2015,7018.8877
14.587364,22.66106,5,2015,6455.887
14.587364,22.66106,6,2015,5931.7
14.587364,22.66106,7,2015,5472.4297
14.587364,22.66106,8,2015,5056.4683
14.587364,22.66106,9,2015,4685.559
14.587364,22.66106,10,2015,4356.856
14.587364,22.66106,11,2015,4067.9468
14.587364,22.66106,12,2015,3816.9402
14.587364,22.66106,1,2016,8113.106
14.587364,22.66106,2,2016,7363.986
14.587364,22.66106,3,2016,6500.8223
14.587364,22.66106,4,2016,6099.9424
14.587364,22.66106,5,2016,5587.413
14.587364,22.66106,6,2016,5114.5454
13.45,22.45,12,2017,5219.8613
13.45,22.45,1,2018,7455.671
13.45,22.45,2,2018,6951.264
13.45,22.45,3,2018,6759.5005
13.45,22.45,4,2018,6286.5703
13.45,22.45,5,2018,5936.606
13.45,22.45,6,2018,5609.4
13.45,22.45,7,2018,5333.5938
13.45,22.45,8,2018,5089.292
13.45,22.45,9,2018,4879.826
13.45,22.45,10,2018,4702.111
13.45,22.45,11,2018,4556.5996
13.45,22.45,12,2018,4442.878
13.45,22.45,1,2019,6825.0938
13.45,22.45,2,2019,6555.193
13.45,22.45,3,2019,6166.5635
13.45,22.45,4,2019,5713.608
13.45,22.45,5,2019,5371.6304
13.45,22.45,6,2019,5070.8354
13.45,22.45,7,2019,4809.6714
13.45,22.45,8,2019,4577.8574
13.45,22.45,9,2019,4376.1104
13.45,22.45,10,2019,4203.0225
13.45,22.45,11,2019,4058.3792
13.6333,22.4333,7,2016,2735.9426
13.6333,22.4333,8,2016,2435.6487
13.6333,22.4333,9,2016,2442.3494
13.6333,22.4333,10,2016,2401.6135
13.6333,22.4333,11,2016,2367.989
13.6333,22.4333,12,2016,2360.4983
13.6333,22.4333,1,2017,3411.6995
13.6333,22.4333,2,2017,3224.7048
13.6333,22.4333,3,2017,3034.4712
13.6333,22.4333,4,2017,2847.1758
13.6333,22.4333,5,2017,2647.9753
13.6333,22.4333,6,2017,2471.3958
13.6333,22.4333,7,2017,2317.4465
13.6333,22.4333,8,2017,2187.4866
13.6333,22.4333,9,2017,2081.9812
13.6333,22.4333,10,2017,2001.0916
13.6333,22.4333,11,2017,1945.3337
13.6333,22.4333,12,2017,1915.6619
13.6333,22.4333,1,2018,3013.3013
13.6333,22.4333,2,2018,2834.8723
13.6333,22.4333,3,2018,2654.8105
13.6333,22.4333,4,2018,2477.0125
13.6333,22.4333,5,2018,2288.1672
13.6333,22.4333,6,2018,2119.84
14.874563,31.478965,6,2019,1567.448
14.874563,31.478965,7,2019,1581.468
14.874563,31.478965,8,2019,1677.5066
14.874563,31.478965,9,2019,1774.1614
14.874563,31.478965,10,2019,1902.2673
14.874563,31.478965,11,2019,2066.2664
14.874563,31.478965,12,2019,2272.1628
14.874563,31.478965,1,2020,1365.1409
14.874563,31.478965,2,2020,1296.1951
14.874563,31.478965,3,2020,1297.7815
14.874563,31.478965,4,2020,1275.7014
14.874563,31.478965,5,2020,1279.1638
14.874563,31.478965,6,2020,1300.3474
14.874563,31.478965,7,2020,1338.1809
14.874563,31.478965,8,2020,1395.239
14.874563,31.478965,9,2020,1473.7922
14.874563,31.478965,10,2020,1576.8577
14.874563,31.478965,11,2020,1708.4016
14.874563,31.478965,12,2020,1873.6497
14.874563,31.478965,1,2021,1166.883
14.874563,31.478965,2,2021,1105.1521
14.874563,31.478965,3,2021,1096.2302
14.874563,31.478965,4,2021,1073.1365
